StudyID,Species,Taxon.group,Endo.Ecto,linear.coefs,linear.coefs.se,elevation,abs.Lat,Genus,family,order,class
11,Calopteryx splendens,I,Ecto,-0.04326,NA,10,55.7,Calopteryx,Calopterygidae,Odonata,Insecta
144,Carpodacus mexicanus,V,Endo,-0.043,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,-0.040849391,0.33268822,593,42.55,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.04,0.035,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.04,0.066,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.038,0.053,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.037,0.069,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.037,0.053,-2,53.2833,Parus,Paridae,Passeriformes,Ave
67,Ovis aries,V,Endo,-0.036,0.163,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
144,Carpodacus mexicanus,V,Endo,-0.035,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,-0.035,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
67,Ovis aries,V,Endo,-0.034,0.07,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
158,Parus major,V,Endo,-0.034,0.045,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.033,0.057,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.033,0.03,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.033,0.035,-2,53.2833,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,-0.030436711,0.19647677,232,43.6667,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,-0.030305075,0.16470774,593,42.55,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.03,0.035,39,52.0833,Parus,Paridae,Passeriformes,Ave
79,Phasianus colchicus,V,Endo,-0.03,NA,17,55.7232,Phasianus,Phasianidae,Galliformes,Ave
79,Phasianus colchicus,V,Endo,-0.03,NA,17,55.7232,Phasianus,Phasianidae,Galliformes,Ave
75,Salmo salar,V,Ecto,-0.03,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
112,Zosterops lateralis chlorocephalus,V,Endo,-0.03,0.06,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
158,Parus major,V,Endo,-0.029,0.03,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.028,0.068,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.027,0.031,-2,53.2833,Parus,Paridae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,-0.026438,NA,10,55.7,Calopteryx,Calopterygidae,Odonata,Insecta
158,Parus major,V,Endo,-0.026,0.034,-2,53.2833,Parus,Paridae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,-0.025323,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
158,Parus major,V,Endo,-0.025,0.054,-2,53.2833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,-0.024,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,-0.024,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
158,Parus major,V,Endo,-0.024,0.034,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.024,0.03,-2,53.2833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,-0.023,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
158,Parus major,V,Endo,-0.023,0.037,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.023,0.036,39,52.0833,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,-0.022490144,0.23084246,232,43.6667,Parus,Paridae,Passeriformes,Ave
11,Calopteryx splendens,I,Ecto,-0.022095,NA,10,55.7,Calopteryx,Calopterygidae,Odonata,Insecta
67,Ovis aries,V,Endo,-0.022,0.051,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
158,Parus major,V,Endo,-0.022,0.038,39,52.0833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,-0.022,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
158,Parus major,V,Endo,-0.021,0.033,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.02,0.038,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.02,0.035,39,52.0833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,-0.02,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
158,Parus major,V,Endo,-0.02,0.06,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.019,0.033,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.019,0.047,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.018,0.041,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.017,0.035,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.017,0.07,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.016,0.041,39,52.0833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.016,0.109,10,51.641,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.016,0.034,-2,53.2833,Parus,Paridae,Passeriformes,Ave
158,Parus major,V,Endo,-0.015,0.046,39,52.0833,Parus,Paridae,Passeriformes,Ave
67,Ovis aries,V,Endo,-0.015,0.025,121,57.814,Ovis,Bovidae,Artiodactyla,Mammalia
11,Calopteryx splendens,I,Ecto,-0.014668,NA,33,55.6333,Calopteryx,Calopterygidae,Odonata,Insecta
158,Parus major,V,Endo,-0.013,0.03,39,52.0833,Parus,Paridae,Passeriformes,Ave
144,Carpodacus mexicanus,V,Endo,-0.013,NA,971,46.8607,Carpodacus,Fringillidae,Passeriformes,Ave
158,Parus major,V,Endo,-0.011,0.059,10,51.641,Parus,Paridae,Passeriformes,Ave
51,Poecilia reticulata,V,Ecto,-0.01,NA,88,10.4606,Poecilia,Poecilidae,Cyprinodontiformes,Actinopterygii
51,Poecilia reticulata,V,Ecto,-0.01,NA,88,10.4606,Poecilia,Poecilidae,Cyprinodontiformes,Actinopterygii
75,Salmo salar,V,Ecto,-0.01,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
75,Salmo salar,V,Ecto,-0.01,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
75,Salmo salar,V,Ecto,-0.01,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
158,Parus major,V,Endo,-0.01,0.057,10,51.641,Parus,Paridae,Passeriformes,Ave
